Tipo_dia	Modo	Paradero	Comuna	Media_hora	Subidas_Promedio
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	5:30:00	159
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	6:00:00	947
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	6:30:00	2385
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	7:00:00	3386
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	7:30:00	3928
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	8:00:00	4032
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	8:30:00	3179
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	9:00:00	2579
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	9:30:00	2151
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	10:00:00	2077
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	10:30:00	1857
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	11:00:00	1807
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	11:30:00	1902
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	12:00:00	1798
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	12:30:00	1926
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	13:00:00	2180
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	13:30:00	1820
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	14:00:00	1740
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	14:30:00	1654
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	15:00:00	1784
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	15:30:00	1529
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	16:00:00	1459
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	16:30:00	2005
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	17:00:00	1896
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	17:30:00	2119
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	18:00:00	2906
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	18:30:00	2714
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	19:00:00	1804
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	19:30:00	1308
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	20:00:00	1146
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	20:30:00	742
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	21:00:00	778
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	21:30:00	405
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	22:00:00	290
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	22:30:00	147
LABORAL	Metro	ESTACION CENTRAL	ESTACIÓN CENTRAL	23:00:00	10
LABORAL	Metro	ALCANTARA	LAS CONDES	5:30:00	7
LABORAL	Metro	ALCANTARA	LAS CONDES	6:00:00	42
LABORAL	Metro	ALCANTARA	LAS CONDES	6:30:00	74
LABORAL	Metro	ALCANTARA	LAS CONDES	7:00:00	236
LABORAL	Metro	ALCANTARA	LAS CONDES	7:30:00	411
LABORAL	Metro	ALCANTARA	LAS CONDES	8:00:00	382
LABORAL	Metro	ALCANTARA	LAS CONDES	8:30:00	343
LABORAL	Metro	ALCANTARA	LAS CONDES	9:00:00	289
LABORAL	Metro	ALCANTARA	LAS CONDES	9:30:00	221
LABORAL	Metro	ALCANTARA	LAS CONDES	10:00:00	217
LABORAL	Metro	ALCANTARA	LAS CONDES	10:30:00	240
LABORAL	Metro	ALCANTARA	LAS CONDES	11:00:00	214
LABORAL	Metro	ALCANTARA	LAS CONDES	11:30:00	235
LABORAL	Metro	ALCANTARA	LAS CONDES	12:00:00	239
LABORAL	Metro	ALCANTARA	LAS CONDES	12:30:00	274
LABORAL	Metro	ALCANTARA	LAS CONDES	13:00:00	335
LABORAL	Metro	ALCANTARA	LAS CONDES	13:30:00	288
LABORAL	Metro	ALCANTARA	LAS CONDES	14:00:00	325
LABORAL	Metro	ALCANTARA	LAS CONDES	14:30:00	290
LABORAL	Metro	ALCANTARA	LAS CONDES	15:00:00	344
LABORAL	Metro	ALCANTARA	LAS CONDES	15:30:00	347
LABORAL	Metro	ALCANTARA	LAS CONDES	16:00:00	505
LABORAL	Metro	ALCANTARA	LAS CONDES	16:30:00	466
LABORAL	Metro	ALCANTARA	LAS CONDES	17:00:00	929
LABORAL	Metro	ALCANTARA	LAS CONDES	17:30:00	863
LABORAL	Metro	ALCANTARA	LAS CONDES	18:00:00	1105
LABORAL	Metro	ALCANTARA	LAS CONDES	18:30:00	798
LABORAL	Metro	ALCANTARA	LAS CONDES	19:00:00	597
LABORAL	Metro	ALCANTARA	LAS CONDES	19:30:00	287
LABORAL	Metro	ALCANTARA	LAS CONDES	20:00:00	254
LABORAL	Metro	ALCANTARA	LAS CONDES	20:30:00	144
LABORAL	Metro	ALCANTARA	LAS CONDES	21:00:00	137
LABORAL	Metro	ALCANTARA	LAS CONDES	21:30:00	98
LABORAL	Metro	ALCANTARA	LAS CONDES	22:00:00	112
LABORAL	Metro	ALCANTARA	LAS CONDES	22:30:00	48
LABORAL	Metro	ALCANTARA	LAS CONDES	23:00:00	3
LABORAL	Metro	ALCANTARA	LAS CONDES	23:30:00	0
LABORAL	Metro	BAQUEDANO	PROVIDENCIA	5:30:00	32
LABORAL	Metro	BAQUEDANO	PROVIDENCIA	6:00:00	238
